From	Entry	Entry Name	Gene Names	Protein names	EC number	Reviewed
AT1G14830	Q8LF21	DRP1C_ARATH	DRP1C ADL1C ADL5 DLP1 At1g14830 F10B6.23	Phragmoplastin DRP1C (EC 3.6.5.-) (Dynamin-like protein 1C) (Dynamin-like protein 5) (Dynamin-like protein DLP1) (Dynamin-related protein 1C) (AtDRP1C)	3.6.5.-	reviewed
AT1G14840	Q9LQU7	MP704_ARATH	MAP70.4 At1g14840 F10B6.24	Microtubule-associated protein 70-4 (AtMAP70-4) (70 kDa microtubule-associated protein 4)		reviewed
AT1G14840	F4HXV4	F4HXV4_ARATH	MAP70-4 ATMAP70-4 At1g14840 F10B6.24 F10B6_24	Microtubule-associated proteins 70-4		unreviewed
AT1G14850	F4HXV6	NU155_ARATH	NUP155 At1g14850 F10B6.25	Nuclear pore complex protein NUP155 (Nucleoporin 155)		reviewed
AT1G14880	Q9LQU2	PCR1_ARATH	PCR1 At1g14880 F10B6.29	Protein PLANT CADMIUM RESISTANCE 1 (AtPCR1)		reviewed
AT1G14900	Q43386	HMGYA_ARATH	HMGA At1g14900 F10B6.31	HMG-Y-related protein A (AtHMGA) (High mobility group A protein)		reviewed
AT1G14910	P94017	CAP9_ARATH	At1g14910 F10B6.32	Putative clathrin assembly protein At1g14910		reviewed
AT1G14910	A0A178W5R2	A0A178W5R2_ARATH	PICALM1B At1g14910 F10B6.32 F10B6_32	ENTH/ANTH/VHS superfamily protein		unreviewed
AT1G14950	A0A178W9B3	A0A178W9B3_ARATH	At1g14950 AXX17_At1g15630 AT9943_LOCUS1288 C24_LOCUS1541	(thale cress) hypothetical protein		unreviewed
AT1G14980	P34893	CH10_ARATH	CPN10 At1g14980 T15D22.2	10 kDa chaperonin, mitochondrial (Chaperonin 10) (CPN10) (Protein groES)		reviewed
AT1G14980	A0A1P8AUX7	A0A1P8AUX7_ARATH	CPN10 chaperonin 10 MITOCHONDRIAL CHAPERONIN 10 At1g14980 T15D22.2 T15D22_2	Chaperonin 10		unreviewed
AT1G15000	Q9M9Q6	SCP50_ARATH	SCPL50 At1g15000 T15D22.4 T15D22.7	Serine carboxypeptidase-like 50 (EC 3.4.16.-)	3.4.16.-	reviewed
AT1G15120	Q0WWE3	QCR61_ARATH	QCR6-1 At1g15120 F9L1.5	Cytochrome b-c1 complex subunit 6-1, mitochondrial (Complex III subunit 6-1) (Complex III subunit VI) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6-1)		reviewed
AT1G15120	A0A654E9X8	A0A654E9X8_ARATH	At1g15120 AN1_LOCUS1640	Ubiquinol-cytochrome C reductase hinge domain-containing protein		unreviewed
AT1G15130	F4HXZ1	BRO1_ARATH	BRO1 ALIX SPHR1 At1g15130 F9L1.7	Vacuolar-sorting protein BRO1 (BRO domain-containing protein 1) (AtBRO1)		reviewed
AT1G15140	F4HXZ3	F4HXZ3_ARATH	FNRL At1g15140 F9L1.8 F9L1_8	FAD/NAD(P)-binding oxidoreductase		unreviewed
AT1G15140	Q9XI55	Q9XI55_ARATH	FNRL At1g15140 At1g15140/F9L1.8 F9L1.8 F9L1_8	F9L1.8 protein (FAD/NAD(P)-binding oxidoreductase)		unreviewed
AT1G15200	A0A5S9UII1	A0A5S9UII1_ARATH	At1g15200 C24_LOCUS1568	Pinin/SDK/MemA protein domain-containing protein		unreviewed
AT1G15200	A0A654E9Y9	A0A654E9Y9_ARATH	At1g15200 AN1_LOCUS1650	Pinin/SDK/MemA protein domain-containing protein		unreviewed
AT1G15200	F4HZI6	F4HZI6_ARATH	At1g15200 F9L1.14 F9L1_14	Protein-protein interaction regulator family protein		unreviewed
AT1G15200	F4HZI7	F4HZI7_ARATH	At1g15200 F9L1.14 F9L1_14	Protein-protein interaction regulator family protein		unreviewed
AT1G15210	Q7PC86	AB35G_ARATH	ABCG35 PDR7 At1g15210 F9L1.15	ABC transporter G family member 35 (ABC transporter ABCG.35) (AtABCG35) (Pleiotropic drug resistance protein 7)		reviewed
AT1G15220	Q9XI46	CCMH_ARATH	CCMH At1g15220 F9L1.17	Cytochrome c-type biogenesis CcmH-like mitochondrial protein (AtCCMH)		reviewed
AT1G15230	A0A178WKX3	A0A178WKX3_ARATH	At1g15230 AXX17_At1g15950 AN1_LOCUS1654 C24_LOCUS1572	Uncharacterized protein		unreviewed
AT1G15250	Q8LFH7	RL371_ARATH	RPL37A At1g15250 F9L1.46	Large ribosomal subunit protein eL37z (60S ribosomal protein L37-1)		reviewed
AT1G15270	A0A178W7A2	A0A178W7A2_ARATH	At1g15270 AXX17_At1g16000 AN1_LOCUS1658 AT9943_LOCUS1319 C24_LOCUS1576	(thale cress) hypothetical protein		unreviewed
AT1G15290	F4HZK4	REC3_ARATH	REC3 At1g15290 F9L1.23	Protein REDUCED CHLOROPLAST COVERAGE 3		reviewed
AT1G15290	A0A1P8ATX7	A0A1P8ATX7_ARATH	REC3 At1g15290 F9L1.23 F9L1_23	Tetratricopeptide repeat (TPR)-like superfamily protein		unreviewed
AT1G15340	Q9XI36	MBD10_ARATH	MBD10 At1g15340 F9L1.28	Methyl-CpG-binding domain-containing protein 10 (AtMBD10) (MBD10) (Methyl-CpG-binding protein MBD10)		reviewed
AT1G15390	Q9FV53	DEF1A_ARATH	PDF1A DEF1 At1g15390 F9L1.34 F9L1_34	Peptide deformylase 1A, chloroplastic/mitochondrial (AtDEF1) (AtPDF1A) (PDF 1A) (EC 3.5.1.88) (Polypeptide deformylase)	3.5.1.88	reviewed
AT1G15420	A0A1P8ATC1	A0A1P8ATC1_ARATH	PCP1 At1g15420	WD repeat protein		unreviewed
AT1G15420	Q8L403	Q8L403_ARATH	PCP1 At1g15420 At1g15425	WD repeat protein		unreviewed
AT1G15470	A0A178WMB4	A0A178WMB4_ARATH	At1g15470 AXX17_At1g16250 AN1_LOCUS1678 AT9943_LOCUS1338 C24_LOCUS1596	Serine-threonine kinase receptor-associated protein		unreviewed
AT1G15470	A0A1P8ANL5	A0A1P8ANL5_ARATH	XIW1 At1g15470 F9L1.42 F9L1_42	Serine-threonine kinase receptor-associated protein		unreviewed
AT1G15500	P92935	TLC2_ARATH	AATP2 At1g15500 T16N11.1	ADP,ATP carrier protein 2, chloroplastic (ADP/ATP translocase 2) (Adenine nucleotide translocase 2)		reviewed
AT1G15520	Q9M9E1	AB40G_ARATH	ABCG40 PDR12 PDR9 At1g15520 T16N11.3	ABC transporter G family member 40 (ABC transporter ABCG.40) (AtABCG40) (Pleiotropic drug resistance protein 12)		reviewed
AT1G15520	A0A1P8AW07	A0A1P8AW07_ARATH	ABCG40 ATABCG40 ATP-binding cassette G40 ATPDR12 PDR12 PLEIOTROPIC DRUG RESISTANCE 12 pleiotropic drug resistance 12 At1g15520 T16N11.3 T16N11_3	Pleiotropic drug resistance 12		unreviewed
AT1G15690	P31414	AVP1_ARATH	AVP1 AVP AVP-3 AVP3 At1g15690 F7H2.3	Pyrophosphate-energized vacuolar membrane proton pump 1 (EC 7.1.3.1) (Pyrophosphate-energized inorganic pyrophosphatase 1) (H(+)-PPase 1) (Vacuolar proton pyrophosphatase 1) (Vacuolar proton pyrophosphatase 3)	7.1.3.1	reviewed
AT1G15690	A8MQH1	A8MQH1_ARATH	AVP1 ARABIDOPSIS THALIANA V-PPASE 3 AtAVP1 ATAVP3 AtVHP1:1 AVP-3 FUGU 5 FUGU5 VHP1 At1g15690 F7H2.3 F7H2_3	H(+)-exporting diphosphatase (EC 7.1.3.1)	7.1.3.1	unreviewed
AT1G15710	Q9LMR3	TYRA2_ARATH	TYRAAT2 At1g15710 F7H2.5	Arogenate dehydrogenase 2, chloroplastic (EC 1.3.1.78) (TyrAAT2)	1.3.1.78	reviewed
AT1G15730	Q9LMR1	Q9LMR1_ARATH	At1g15730 F7H2.7 F7H2_7	At1g15730/F7H2_7 (Cobalamin biosynthesis CobW-like protein) (F7H2.7 protein) (Putative PRLI-interacting factor L)		unreviewed
AT1G15750	Q94AI7	TPL_ARATH	TPL WSIP1 At1g15750 F7H2.9	Protein TOPLESS (WUS-interacting protein 1)		reviewed
AT1G15790	A0A1P8AV92	A0A1P8AV92_ARATH	At1g15790 F7H2.13 F7H2_13	Mediator of RNA polymerase II transcription subunit 15a-like protein		unreviewed
AT1G15790	A0A1P8AVD7	A0A1P8AVD7_ARATH	At1g15790 F7H2.13 F7H2_13	Mediator of RNA polymerase II transcription subunit 15a-like protein		unreviewed
AT1G15790	A0A384K8Y6	A0A384K8Y6_ARATH	At1g15790 AXX17_At1g16560	Mediator complex subunit 15 KIX domain-containing protein		unreviewed
AT1G15820	Q9LMQ2	Q9LMQ2_ARATH	LHCB6 CHLOROPHYLL PROTEIN 24 CP24 At1g15820 At1g15820/F7H2.16 F7H2.16 F7H2_16	Chlorophyll a-b binding protein, chloroplastic		unreviewed
AT1G15880	Q9LMP7	GOS11_ARATH	GOS11 At1g15880 F7H2.21	Golgi SNAP receptor complex member 1-1 (Golgi SNARE 11 protein) (AtGOS11)		reviewed
AT1G15930	Q9S9P1	RS121_ARATH	RPS12A At1g15930 T24D18.3	Small ribosomal subunit protein eS12z (40S ribosomal protein S12-1)		reviewed
AT1G15940	Q9S9P0	PDS5E_ARATH	PDS5E At1g15940 T24D18.4	Sister chromatid cohesion protein PDS5 homolog E (Precocious dissociation of sisters protein 5-E) (AtPDS5E)		reviewed
AT1G15950	Q9S9N9	CCR1_ARATH	CCR1 IRX4 At1g15950 T24D18.5	Cinnamoyl-CoA reductase 1 (AtCCR1) (EC 1.2.1.44) (Protein IRREGULAR XYLEM 4)	1.2.1.44	reviewed
AT1G15950	A0A1P8ASX1	A0A1P8ASX1_ARATH	CCR1 ATCCR1 CINNAMOYL COA REDUCTASE cinnamoyl coa reductase 1 IRREGULAR XYLEM 4 IRX4 At1g15950 T24D18.5 T24D18_5	Cinnamoyl coa reductase 1		unreviewed
AT1G15950	A0A1P8ASX3	A0A1P8ASX3_ARATH	CCR1 ATCCR1 CINNAMOYL COA REDUCTASE cinnamoyl coa reductase 1 IRREGULAR XYLEM 4 IRX4 At1g15950 T24D18.5 T24D18_5	Cinnamoyl coa reductase 1		unreviewed
AT1G15950	A0A1P8ASX8	A0A1P8ASX8_ARATH	CCR1 ATCCR1 CINNAMOYL COA REDUCTASE cinnamoyl coa reductase 1 IRREGULAR XYLEM 4 IRX4 At1g15950 T24D18.5 T24D18_5	Cinnamoyl coa reductase 1		unreviewed
AT1G15950	A0A1P8AT30	A0A1P8AT30_ARATH	CCR1 ATCCR1 CINNAMOYL COA REDUCTASE cinnamoyl coa reductase 1 IRREGULAR XYLEM 4 IRX4 At1g15950 T24D18.5 T24D18_5	Cinnamoyl coa reductase 1		unreviewed
AT1G15950	A8MQW5	A8MQW5_ARATH	CCR1 ATCCR1 CINNAMOYL COA REDUCTASE cinnamoyl coa reductase 1 IRREGULAR XYLEM 4 IRX4 At1g15950 T24D18.5 T24D18_5	Cinnamoyl coa reductase 1		unreviewed
AT1G15980	Q9S9N6	PNSB1_ARATH	PNSB1 GT9 NDF1 NDH48 At1g15980 T24D18.8	Photosynthetic NDH subunit of subcomplex B 1, chloroplastic (Protein PnsB1) (NAD(P)H DEHYDROGENASE SUBUNIT 48) (NDH-DEPENDENT CYCLIC ELECTRON FLOW 1)		reviewed
AT1G16020	F4I2S4	CCZ1A_ARATH	CCZ1A At1g16020 T24D18.12	Vacuolar fusion protein CCZ1 homolog A		reviewed
AT1G16020	A0A178W723	A0A178W723_ARATH	At1g16020 AXX17_At1g16790 AN1_LOCUS1735 C24_LOCUS1651	CCZ1/INTU/HSP4 first Longin domain-containing protein		unreviewed
AT1G16020	A0A1P8AUE1	A0A1P8AUE1_ARATH	CCZ1A CCZ1a At1g16020 T24D18.12 T24D18_12	Vacuolar fusion protein (DUF1712)		unreviewed
AT1G16020	Q0WTH0	Q0WTH0_ARATH	CCZ1A CCZ1a At1g16020 T24D18.12 T24D18_12	Vacuolar fusion protein (DUF1712)		unreviewed
AT1G16030	Q9S9N1	HSP7E_ARATH	HSP70-5 HSP70B At1g16030 T24D18.14	Heat shock 70 kDa protein 5 (Heat shock protein 70-5) (AtHsp70-5) (Heat shock protein 70b)		reviewed
AT1G16080	A0A178WL48	A0A178WL48_ARATH	At1g16080 AXX17_At1g16860	Nuclear protein		unreviewed
AT1G16210	A0A654EL43	A0A654EL43_ARATH	At1g16210 AN1_LOCUS1752 C24_LOCUS1666	Coiled-coil domain-containing protein		unreviewed
AT1G16240	Q9SA23	SYP51_ARATH	SYP51 At1g16240 F3O9.4	Syntaxin-51 (AtSYP51)		reviewed
AT1G16240	A8MRW0	A8MRW0_ARATH	SYP51 ATSYP51 syntaxin of plants 51 At1g16240 F3O9.4 F3O9_4	Syntaxin of plants 51		unreviewed
AT1G16270	A0A5S9UQU0	A0A5S9UQU0_ARATH	At1g16270 C24_LOCUS1673	Protein kinase domain-containing protein		unreviewed
AT1G16300	Q5E924	G3PP2_ARATH	GAPCP2 At1g16300 F3O9.10	Glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase of plastid 2) (NAD-dependent glyceraldehydephosphate dehydrogenase chloroplastic 2)	1.2.1.12	reviewed
AT1G16340	Q6NQL4	KDSA2_ARATH	KDSA2 kdsA At1g16340 F3O9.14	2-dehydro-3-deoxyphosphooctonate aldolase 2 (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase 2) (AtkdsA2) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	2.5.1.55	reviewed
AT1G16340	F4I2W6	F4I2W6_ARATH	ATKDSA2 AtKDO8PS ATKSDA At1g16340 F3O9.14 F3O9_14	3-deoxy-8-phosphooctulonate synthase (EC 2.5.1.55)	2.5.1.55	unreviewed
AT1G16350	Q9SA34	IMDH2_ARATH	At1g16350 F3O9.15	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)	1.1.1.205	reviewed
AT1G16360	Q9SA35	ALIS4_ARATH	ALIS4 At1g16360 F3O9.16	Putative ALA-interacting subunit 4 (AtALIS4)		reviewed
AT1G16360	A0A1P8AN78	A0A1P8AN78_ARATH	At1g16360 F3O9.16 F3O9_16	ALA-interacting subunit		unreviewed
AT1G16360	A0A1P8AN80	A0A1P8AN80_ARATH	At1g16360 F3O9.16 F3O9_16	ALA-interacting subunit		unreviewed
AT1G16360	A0A1P8AN88	A0A1P8AN88_ARATH	At1g16360 F3O9.16 F3O9_16	ALA-interacting subunit		unreviewed
AT1G16400	Q9FUY7	C79F2_ARATH	CYP79F2 At1g16400 F3O9.20	Hexahomomethionine N-hydroxylase (EC 1.14.14.42) (Cytochrome P450 79F2)	1.14.14.42	reviewed
AT1G16410	Q949U1	C79F1_ARATH	CYP79F1 BUS1 SPS1 At1g16410 F3O9.21	Dihomomethionine N-hydroxylase (EC 1.14.14.42) (Cytochrome P450 79F1) (Protein BUSHY 1) (Protein SUPERSHOOT 1) (Trihomomethionine N-hydroxylase)	1.14.14.42	reviewed
AT1G16460	Q24JL3	STR2_ARATH	STR2 RDH2 At1g16460 F3O9.26	Thiosulfate/3-mercaptopyruvate sulfurtransferase 2 (EC 2.8.1.1) (EC 2.8.1.2) (Rhodanese homolog protein 2) (AtRDH2) (Sulfurtransferase 2) (AtStr2)	2.8.1.1; 2.8.1.2	reviewed
AT1G16460	A0A178W5B2	A0A178W5B2_ARATH	At1g16460 AXX17_At1g17240	Sulfurtransferase		unreviewed
AT1G16460	A0A1P8AU81	A0A1P8AU81_ARATH	RDH2 ATMST2 ATRDH2 MST2 rhodanese homologue 2 ST2 STR2 SULFURTRANSFERASE 2 At1g16460 F3O9.26 F3O9_26	Rhodanese homologue 2		unreviewed
AT1G16460	A0A1P8AU99	A0A1P8AU99_ARATH	RDH2 ATMST2 ATRDH2 MST2 rhodanese homologue 2 ST2 STR2 SULFURTRANSFERASE 2 At1g16460 F3O9.26 F3O9_26	Rhodanese homologue 2		unreviewed
AT1G16470	O23708	PSA2A_ARATH	PAB1 PRC3 At1g16470 F3O9.27	Proteasome subunit alpha type-2-A (20S proteasome alpha subunit B-1) (Proteasome component 3)		reviewed
AT1G16610	Q9SEE9	SR45_ARATH	SR45 RNPS1 At1g16610 F19K19.9	Serine/arginine-rich splicing factor SR45 (At-SR45) (AtSR45) (Serine/arginine-rich ribonucleoprotein 1)		reviewed
AT1G16610	A0A1P8APW3	A0A1P8APW3_ARATH	SR45 arginine/serine-rich 45 AtSR45 RNPS1 At1g16610 F19K19.9 F19K19_9	Arginine/serine-rich 45		unreviewed
AT1G16610	A0A1P8APZ4	A0A1P8APZ4_ARATH	SR45 arginine/serine-rich 45 AtSR45 RNPS1 At1g16610 F19K19.9 F19K19_9	Arginine/serine-rich 45		unreviewed
AT1G16610	A0A1P8APZ9	A0A1P8APZ9_ARATH	SR45 arginine/serine-rich 45 AtSR45 RNPS1 At1g16610 F19K19.9 F19K19_9	Arginine/serine-rich 45		unreviewed
AT1G16670	Q93YN1	CRPK1_ARATH	CRPK1 At1g16670 F19K19.4	Cold-responsive protein kinase 1 (EC 2.7.11.1)	2.7.11.1	reviewed
AT1G16700	Q9FX83	NDS8B_ARATH	At1g16700 F19K19.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-B, mitochondrial (EC 7.1.1.2)	7.1.1.2	reviewed
AT1G16720	Q8W4D6	HC173_ARATH	HCF173 At1g16720 F19K19.14	Protein HIGH CHLOROPHYLL FLUORESCENCE PHENOTYPE 173, chloroplastic		reviewed
AT1G16720	A0A1P8AWU9	A0A1P8AWU9_ARATH	HCF173 At1g16720 F19K19.14	High chlorophyll fluorescence phenotype 173		unreviewed
AT1G16720	A0A1P8AWY1	A0A1P8AWY1_ARATH	HCF173 At1g16720 F19K19.14	High chlorophyll fluorescence phenotype 173		unreviewed
AT1G16730	Q9FWQ7	Q9FWQ7_ARATH	UP6 F17F16.6 unknown protein 6 At1g16730 F19K19.18	F17F16.6 protein		unreviewed
AT1G16780	Q9FWR2	AVPX_ARATH	AVPL2 At1g16780 F17F16.2	Pyrophosphate-energized membrane proton pump 3 (EC 7.1.3.1) (AVP1-like protein 2) (Pyrophosphate-energized inorganic pyrophosphatase 3) (H(+)-PPase 3)	7.1.3.1	reviewed
AT1G16820	A0A7G2DTR5	A0A7G2DTR5_ARATH	At1g16820 AT9943_LOCUS1449	(thale cress) hypothetical protein		unreviewed
AT1G16820	A0A7G2DTR6	A0A7G2DTR6_ARATH	At1g16820 AT9943_LOCUS1449	(thale cress) hypothetical protein		unreviewed
AT1G16820	F4I600	F4I600_ARATH	At1g16820 F17F16.15	Vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-like protein		unreviewed
AT1G16850	Q9FE54	Q9FE54_ARATH	F6I1.15 At1g16850 At1g16880/F17F16.7 F17F16.17	At1g16880 (F6I1.15 protein) (Transmembrane protein)		unreviewed
AT1G16860	Q9FZ45	Y1686_ARATH	At1g16860 F6I1.14	Uncharacterized membrane protein At1g16860		reviewed
AT1G16870	A0A654EAI6	A0A654EAI6_ARATH	At1g16870 AN1_LOCUS1817 AT9943_LOCUS1454 C24_LOCUS1731	Small ribosomal subunit protein mS29		unreviewed
AT1G16880	Q9FZ47	ACR11_ARATH	ACR11 At1g16880 F6I1.12	ACT domain-containing protein ACR11 (Protein ACT DOMAIN REPEATS 11)		reviewed
AT1G16880	F4I613	F4I613_ARATH	ACR11 ACT domain repeats 11 At1g16880 F17F16.13	ACT domain-containing protein ACR (Protein ACT DOMAIN REPEATS)		unreviewed
AT1G16890	Q9FZ48	UBC36_ARATH	UBC36 UBC13B UBG13B At1g16890 F17F16.19 F6I1.11	Ubiquitin-conjugating enzyme E2 36 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 36) (Ubiquitin carrier protein 36)	2.3.2.23	reviewed
AT1G16890	F4I615	F4I615_ARATH	UBC36 AtUBC36 UBC13B At1g16890 F17F16.19	Ubiquitin-conjugating enzyme 36		unreviewed
AT1G16920	Q39222	RAA1B_ARATH	RABA1B RAB11 At1g16920 F6I1.7	Ras-related protein RABA1b (AtRABA1b) (Ras-related protein Rab11) (AtRab11)		reviewed
AT1G16970	Q9FQ08	KU70_ARATH	KU70 At1g16970 F6I1.2	ATP-dependent DNA helicase 2 subunit KU70 (EC 3.6.4.12) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit)	3.6.4.12	reviewed
AT1G16980	Q9FZ57	TPS2_ARATH	TPS2 At1g16980 F6I1.1	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 2 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 2) (AtTPS2)	2.4.1.15	reviewed
AT1G16980	A0A1P8AQY2	A0A1P8AQY2_ARATH	TPS2 ATTPS2 At1g16980 F6I1.1 F6I1_1	alpha,alpha-trehalose-phosphate synthase (UDP-forming) (EC 2.4.1.15)	2.4.1.15	unreviewed
AT1G17050	Q76FS5	SPS2_ARATH	SPS2 SPPS At1g17050 F20D23.25	Solanesyl diphosphate synthase 2, chloroplastic (AtSPS2) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 2 (geranylgeranyl-diphosphate specific))	2.5.1.85	reviewed
AT1G17100	Q9SHG8	Q9SHG8_ARATH	HBP1 AtHBP1 haem-binding protein 1 At1g17100 F20D23.21 F20D23_21	At1g17100 (SOUL heme-binding family protein) (SOUL-like protein) (Similar to SOUL Protein)		unreviewed
AT1G17120	Q9SHH0	CAAT8_ARATH	CAT8 At1g17120 F20D23.19	Cationic amino acid transporter 8, vacuolar		reviewed
AT1G17170	Q9SHH6	GSTUO_ARATH	GSTU24 At1g17170 F20D23.13	Glutathione S-transferase U24 (AtGSTU24) (EC 2.5.1.18) (GST class-tau member 24)	2.5.1.18	reviewed
AT1G17210	Q9SHI0	Q9SHI0_ARATH	ILP1 ARABIDOPSIS IAP-LIKE PROTEIN ATILP1 IAP-like protein 1 At1g17210 F20D23.9 F20D23_9	F20D23.9 protein (IAP-like protein 1)		unreviewed
AT1G17220	Q9SHI1	IF2C_ARATH	At1g17220 F20D23.8	Translation initiation factor IF-2, chloroplastic		reviewed
AT1G17260	Q43128	PMA10_ARATH	AHA10 At1g17260 F20D23.4	ATPase 10, plasma membrane-type (EC 7.1.2.1) (Proton pump 10)	7.1.2.1	reviewed
AT1G17290	F4I7I0	ALAT1_ARATH	ALAAT1 AOAT4 At1g17290 T13M22.3	Alanine aminotransferase 1, mitochondrial (AtAlaAT1) (AtAlaATc) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 4) (EC 2.6.1.-)	2.6.1.-; 2.6.1.2	reviewed
AT1G17350	Q9LQI7	CIA30_ARATH	At1g17350 F28G4.19	Probable complex I intermediate-associated protein 30		reviewed
AT1G17350	F4I7I6	F4I7I6_ARATH	At1g17350 F28G4.20 F28G4_20	NADH:ubiquinone oxidoreductase intermediate-associated protein 30		unreviewed
AT1G17370	Q9LQI9	UBP1B_ARATH	UBP1B At1g17370 F1L3.2 F28G4.17	Oligouridylate-binding protein 1B (AtUBP1b) (Polyuridylate-binding protein UBP1B) (Poly(U)-binding protein UBP1B)		reviewed
AT1G17370	B3H4Q3	B3H4Q3_ARATH	UBP1B At1g17370 F28G4.17	Oligouridylate binding protein 1B		unreviewed
AT1G17420	Q9LNR3	LOX3_ARATH	LOX3 At1g17420 F28G4.10	Lipoxygenase 3, chloroplastic (AtLOX3) (EC 1.13.11.12)	1.13.11.12	reviewed
AT1G17470	Q9LQK0	DRG1_ARATH	DRG1 DRG2A At1g17470 F1L3.17 F28G4.4	Developmentally-regulated G-protein 1 (AtDRG1) (Developmentally-regulated G-protein 2A) (AtDRG2a)		reviewed
AT1G17490	A0A178W9L6	A0A178W9L6_ARATH	At1g17490 AXX17_At1g18380 AN1_LOCUS1884 AT9943_LOCUS1511 C24_LOCUS1800	(thale cress) hypothetical protein		unreviewed
AT1G17550	Q9LNP9	P2C07_ARATH	HAB2 At1g17550 F1L3.32	Protein phosphatase 2C 7 (AtPP2C07) (EC 3.1.3.16) (Protein HYPERSENSITIVE TO ABA 2) (Protein phosphatase 2C HAB2) (PP2C HAB2)	3.1.3.16	reviewed
AT1G17580	Q39160	MYO5_ARATH	XI-1 MYA1 At1g17580 F1L3.28	Myosin-5 (AtMYA1)		reviewed
AT1G17600	F4I901	F4I901_ARATH	SOC3 At1g17600 F1L3.30 F1L3_30	Disease resistance protein (TIR-NBS-LRR class) family		unreviewed
AT1G17650	F4I907	GLYR2_ARATH	GLYR2 GR2 At1g17650 F11A6.12	Glyoxylate/succinic semialdehyde reductase 2, chloroplastic (AtGLYR2) (AtGR2) (SSA reductase 2) (EC 1.1.1.79) (EC 1.1.1.n11)	1.1.1.79; 1.1.1.n11	reviewed
AT1G17650	A0A1P8AS42	A0A1P8AS42_ARATH	GLYR2 AtGLYR2 GLYOXYLATE REDUCTASE 2 glyoxylate reductase 2 GR2 At1g17650 F11A6.12	Glyoxylate reductase 2		unreviewed
AT1G17720	Q39247	2ABB_ARATH	PP2AB2 At1g17720 F11A6.6	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (AtB beta) (PP2A, subunit B, beta isoform)		reviewed
AT1G17720	A0A5S9UWK7	A0A5S9UWK7_ARATH	At1g17720 AN1_LOCUS1907 C24_LOCUS1823	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B		unreviewed
AT1G17730	Q8LE58	CHM1A_ARATH	CHMP1A VPS46.1 At1g17730 F11A6.7	ESCRT-related protein CHMP1A (Protein CHARGED MULTIVESICULAR BODY PROTEIN 1A) (Protein CHROMATIN MODIFYING PROTEIN 1A) (Vacuolar protein-sorting-associated protein 46.1)		reviewed
AT1G17745	O04130	SERA2_ARATH	PGDH2 3-PGDH PGDH At1g17745 F11A6.8	D-3-phosphoglycerate dehydrogenase 2, chloroplastic (PGDH) (EC 1.1.1.95)	1.1.1.95	reviewed
AT1G17840	Q8RXN0	AB11G_ARATH	ABCG11 COF1 DSO PEL1 WBC11 At1g17840 F2H15.7	ABC transporter G family member 11 (ABC transporter ABCG.11) (AtABCG11) (Protein CUTICULAR DEFECT AND ORGAN FUSION 1) (Protein DESPERADO) (Protein PERMEABLE LEAVES 1) (White-brown complex homolog protein 11) (AtWBC11)		reviewed
AT1G17860	Q9LMU2	KTI5_ARATH	KTI5 KTI2 At1g17860 F2H15.9	Kunitz trypsin inhibitor 5 (AtKTI5) (Kunitz trypsin inhibitor 2) (AtKTI2)		reviewed
AT1G17880	Q9SMW7	BTF3_ARATH	BTF3 At1g17880 F2H15.11	Basic transcription factor 3 (AtBTF3) (Nascent polypeptide-associated complex subunit beta)		reviewed
AT1G17890	Q9LMU0	FCL2_ARATH	GER2 At1g17890 F2H15.12	Putative GDP-L-fucose synthase 2 (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase 2) (AtGER2)	1.1.1.271	reviewed
AT1G17890	B9DH36	B9DH36_ARATH	GER2 At1g17890 F2H15.12 F2H15_12	GDP-L-fucose synthase (EC 1.1.1.271)	1.1.1.271	unreviewed
AT1G17990	P0DI08	ORL2A_ARATH	At1g17990 F2H15.21	Putative 12-oxophytodienoate reductase-like protein 2A (EC 1.3.1.-)	1.3.1.-	reviewed
AT1G17990	F4I949	F4I949_ARATH	At1g17990 T10F20.3	FMN-linked oxidoreductases superfamily protein		unreviewed
